


Método: bubble, Caso: melhor, Tempo de execução: 0.28335 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.48921 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
Método: quick, Caso: melhor, Tempo de execução: 0.00000 segundos
